"ConPhylum","Intercept2","Slope2","E2","TempPref","Intercept","Slope","E","GenusSpecies","ConGenus","ConFamily","ConOrder","ConClass","Superkingdom","GrowthRate","RateUnit","Optimum.Temp","TempUnit","AverageVolume","VolumeUnit","Sources","Notes","Author","Temp","arrhenius_tmp","lograte"
"13","Aquificae",-48.8575491014297,1.09972131414319,1.09972131414319,"Thermophile",-48.8575491,1.099721314,1.099721314,"Sulfurihydrogenibium subterraneum","Sulfurihydrogenibium","Hydrogenothermaceae","Aquificales","Aquificae","Bacteria",7.61e-06,"s^-1",65,"Celsius",2.35e-19,"m^3","corkrey, engqvist, gold","175, 555, 12331","Madin",338.15,34.3070473879815,-11.7860473860907
"14","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Rhizosolenia setigera","Rhizosolenia","Rhizosoleniaceae","Rhizosoleniales","Bacillariophyceae","Phytoplankton",1.56e-05,"s^-1",27,"Celsius",7.55e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",300.15,38.6504350299715,-11.0682396437088
"15","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Nitzschia granii","Nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Phytoplankton",1.1e-05,"s^-1",14,"Celsius",4.25e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",287.15,40.4002370685911,-11.4176152851659
"16","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Thalassionema nitzschioides","Thalassionema","Thalassionemataceae","Thalassionematales","Bacillariophyceae","Phytoplankton",2.05e-05,"s^-1",24,"Celsius",4.24e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",297.15,39.0406463881741,-10.7950856718199
"17","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Chaetoceros calcitrans","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Phytoplankton",3.9e-05,"s^-1",25,"Celsius",6.43e-17,"m^3","Sofía Sal, Ángel López-Urrutia, Xabier Irigoien, Derek S. Harbour, and Roger P. Harris 2013. Marine microplankton diversity database. Ecology 94:1658. http://dx.doi.org/10.1890/13-0236.5","Saujanya’s data �?Cell Volume 2","Hira",298.15,38.9097034185676,-10.1519489118346
"18","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Navicula arenaria","Navicula","Naviculaceae","Naviculales","Bacillariophyceae","Phytoplankton",1.16e-05,"s^-1",16,"Celsius",4.16e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",289.15,40.1207956916685,-11.364505459852
"19","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Ditylum brightwellii","Ditylum","Lithodesmiaceae","Lithodesmiales","Coscinodiscophyceae","Phytoplankton",1.3e-05,"s^-1",12,"Celsius",8.25e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",285.15,40.6835983666349,-11.2505612005027
"20","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Nitzschia dissipata","Nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Phytoplankton",2.03e-05,"s^-1",25,"Celsius",2.43e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.8048896719165
"21","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Dactyliosolen fragilissimus","Dactyliosolen","Rhizosoleniaceae","Rhizosoleniales","Coscinodiscophyceae","Phytoplankton",9.84e-06,"s^-1",18,"Celsius",6.66e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",291.15,39.845193454391,-11.5290548469001
"22","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Amphiprora paludosa","Amphiprora","Amphipleuraceae","Naviculales","Bacillariophyceae","Phytoplankton",2.15e-05,"s^-1",25,"Celsius",1.93e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.7474576228307
"23","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Aulacoseira subarctica","Aulacoseira","Melosiraceae","Melosirales","Bacillariophyceae","Phytoplankton",1.72e-06,"s^-1",16,"Celsius",1.6e-15,"m^3","https://www.tandfonline.com/doi/abs/10.1080/0967026031000094102","cell length:2.5-18.0; cell width:3.0-15.0 (micrometers)","Hira",289.15,40.1207956916685,-13.2731862671389
"24","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Chaetoceros affinis","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Phytoplankton",1.74e-05,"s^-1",25,"Celsius",1.96e-15,"m^3","Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.1","Saujanya’s data","Hira",298.15,38.9097034185676,-10.9590403517438
"25","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Odontella aurita","Odontella","Biddulphiaceae","Biddulphiales","Mediophyceae","Phytoplankton",1.11e-05,"s^-1",12,"Celsius",1.25e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",285.15,40.6835983666349,-11.408565449646
"26","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Skeletonema tropicum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Phytoplankton",2.41e-05,"s^-1",25,"Celsius",2.5e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.6332987174677
"27","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Chaetoceros gracilis","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Phytoplankton",2.66e-05,"s^-1",30,"Celsius",2.83e-16,"m^3","Leblanc, Karine; Arístegui Ruiz, Javier; Armand, L; Assmy, P; Beker, B; Bode, Antonio; Breton, E; Cornet, V; Gibson, J; Gosselin, M-P; Kopczynska, EE; Marshall, Harold G; Peloquin, Jill M; Piontkovski, S; Poulton, Alex J; Quéguiner, Bernard; Schiebel, Ralf; Shipe, R; Stefels, Jacqueline; van Leeuwe, Maria A; Varela, M; Widdicombe, Claire E; Yallop, M (2012): A global diatom database - abundance, biovolume and biomass in the world ocean. Earth System Science Data, 4, 149-165, doi:10.5194/essd-4-149-2012. CC-BY","Saujanya’s data","Hira",303.15,38.2679468060232,-10.5345993421766
"28","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Chaetoceros simplex","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Mediophyceae","Phytoplankton",2.79e-05,"s^-1",25,"Celsius",1.68e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.486883869137
"29","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Phaeodactylum tricornutum","Phaeodactylum","Phaeodactylaceae","Naviculales","Bacillariophyceae","Phytoplankton",1.9e-05,"s^-1",25,"Celsius",7.11e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.8710715787978
"30","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Thalassiosira eccentrica","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Mediophyceae","Phytoplankton",1.16e-05,"s^-1",16,"Celsius",2.98e-13,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",289.15,40.1207956916685,-11.364505459852
"31","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Cylindrotheca closterium","Cylindrotheca","Bacillariaceae","Bacillariales","Bacillariophyceae","Phytoplankton",3e-06,"s^-1",23,"Celsius",1.36e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",296.15,39.1724736594494,-12.7168982692962
"32","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Odontella sinensis","Odontella","Triceratiaceae","Triceratiales","Bacillariophyceae","Phytoplankton",9.3e-06,"s^-1",30,"Celsius",3.28e-13,"M^3","http://www.esapubs.org/archive/ecol/E094/149/metadata.php",NA,"Hira",303.15,38.2679468060232,-11.5854961578051
"33","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Odontella mobilensis","Odontella","Triceratiaceae","Triceratiales","Bacillariophyceae","Phytoplankton",1.56e-05,"s^-1",27,"Celsius",2.77e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",300.15,38.6504350299715,-11.0682396437088
"34","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Coscinodiscus concinnus","Coscinodiscus","Coscinodiscaceae","Coscinodiscales","Coscinodiscophyceae","Phytoplankton",6.83e-06,"s^-1",12,"Celsius",7.29e-12,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",285.15,40.6835983666349,-11.8941858843816
"35","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Detonula confervacea","Detonula","Skeletonemataceae","Thalassiosirales","Coscinodiscophyceae","Phytoplankton",1.2e-05,"s^-1",12,"Celsius",2.99e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",285.15,40.6835983666349,-11.3306039081763
"36","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Chaetoceros lorenzianus","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Phytoplankton",2.57e-05,"s^-1",30,"Celsius",8e-15,"m^3","Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.1","Saujanya’s data","Hira",303.15,38.2679468060232,-10.5690195660631
"37","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Asterionellopsis glacialis","Asterionellopsis","Fragilariaceae","Fragilariales","Bacillariophyceae","Phytoplankton",2.3e-05,"s^-1",25,"Celsius",4.44e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.6800163420351
"38","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Eucampia zodiacus","Eucampia","Hemiaulaceae","Hemiaulales","Coscinodiscophyceae","Phytoplankton",3.56e-05,"s^-1",20,"Celsius",2e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",293.15,39.5733517797917,-10.2431649201063
"39","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Skeletonema menzellii","Skeletonema","Skeletonemataceae","Thalassiosirales","Coscinodiscophyceae","Phytoplankton",2.99e-05,"s^-1",35,"Celsius",5.65e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",308.15,37.6470163045463,-10.4176520775676
"40","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Thalassiosira pseudonana","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Mediophyceae","Phytoplankton",3.73e-05,"s^-1",24,"Celsius",8.42e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",297.15,39.0406463881741,-10.1965172313145
"41","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Chaetoceros didymus","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Phytoplankton",1.67e-05,"s^-1",21,"Celsius",4.39e-16,"m^3","Leblanc, Karine; Arístegui Ruiz, Javier; Armand, L; Assmy, P; Beker, B; Bode, Antonio; Breton, E; Cornet, V; Gibson, J; Gosselin, M-P; Kopczynska, EE; Marshall, Harold G; Peloquin, Jill M; Piontkovski, S; Poulton, Alex J; Quéguiner, Bernard; Schiebel, Ralf; Shipe, R; Stefels, Jacqueline; van Leeuwe, Maria A; Varela, M; Widdicombe, Claire E; Yallop, M (2012): A global diatom database - abundance, biovolume and biomass in the world ocean. Earth System Science Data, 4, 149-165, doi:10.5194/essd-4-149-2012. CC-BY","Saujanya’s data �?Cell Volume mean","Hira",294.15,39.4388171825461,-11.0001018385416
"42","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Cyclotella meneghiniana","Cyclotella","Stephanodiscaceae","Thalassiosirales","Mediophyceae","Phytoplankton",1.4e-05,"s^-1",25,"Celsius",1.82e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-11.176453228349
"43","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Skeletonema japonicum","Skeletonema","Skeletonemataceae","Thalassiosirales","Coscinodiscophyceae","Phytoplankton",1.89e-05,"s^-1",25,"Celsius",3.27e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.8763486358987
"44","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Coscinodiscus excentricus","Coscinodiscus","Coscinodiscaceae","Coscinodiscales","Bacillariophyceae","Phytoplankton",9.63e-06,"s^-1",17,"Celsius",4.91e-14,"m^3","Leblanc, Karine; Arístegui Ruiz, Javier; Armand, L; Assmy, P; Beker, B; Bode, Antonio; Breton, E; Cornet, V; Gibson, J; Gosselin, M-P; Kopczynska, EE; Marshall, Harold G; Peloquin, Jill M; Piontkovski, S; Poulton, Alex J; Quéguiner, Bernard; Schiebel, Ralf; Shipe, R; Stefels, Jacqueline; van Leeuwe, Maria A; Varela, M; Widdicombe, Claire E; Yallop, M (2012): A global diatom database - abundance, biovolume and biomass in the world ocean. Earth System Science Data, 4, 149-165, doi:10.5194/essd-4-149-2012. CC-BY",NA,"Hira",290.15,39.9825196424123,-11.5506273321542
"45","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Pseudo-nitzschia seriata","Pseudo-nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Phytoplankton",5.67e-06,"s^-1",6,"Celsius",1.11e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",279.15,41.5580443283036,-12.0803214402246
"46","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Asterionella formosa","Asterionella","Fragilariaceae","Fragilariales","Bacillariophyceae","Phytoplankton",1.28e-05,"s^-1",17,"Celsius",2.53e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",290.15,39.9825196424123,-11.2660653870387
"47","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Thalassiosira nordenskioeldii","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Mediophyceae","Phytoplankton",1.44e-05,"s^-1",10,"Celsius",6.95e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",283.15,40.9709626496413,-11.1482823513823
"48","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Pseudo-nitzschia pseudodelicatissima","Pseudo-nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Phytoplankton",2.73e-05,"s^-1",25,"Celsius",2.98e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.5086238557734
"49","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Fragilariopsis cylindrus","Fragilariopsis","Bacillariaceae","Bacillariales","Bacillariophyceae","Phytoplankton",6.83e-06,"s^-1",5,"Celsius",2.36e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",278.15,41.707453080158,-11.8941858843816
"50","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Nitzschia sigma","Nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Phytoplankton",4.98e-06,"s^-1",25,"Celsius",3.3e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-12.2100806669277
"51","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Thalassiosira weissflogii","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Mediophyceae","Phytoplankton",2.74e-05,"s^-1",29,"Celsius",6.54e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",302.15,38.3945989549758,-10.5049675445702
"52","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Proboscia inermis","Proboscia","Rhizosoleniaceae","Rhizosoleniales","Bacillariophyceae","Phytoplankton",5.09e-06,"s^-1",6,"Celsius",1.26e-14,"m^3","http://www.esapubs.org/archive/ecol/E094/149/metadata.php",NA,"Hira",279.15,41.5580443283036,-12.1882327274018
"53","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Thalassiosira rotula","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Mediophyceae","Phytoplankton",2.47e-05,"s^-1",16,"Celsius",3.78e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",289.15,40.1207956916685,-10.6087073143303
"54","Bacillariophyta",3.57714294543895,-0.373162820520713,0.373162820520713,"Thermophile",4.132476842,-0.387367262,0.387367262,"Skeletonema costatum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Phytoplankton",1.9e-05,"s^-1",27.5,"Celsius",3.17e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",300.65,38.5861569075202,-10.8710715787978
