species_tax_id,Species,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,Volume,VolumeUnit,Shape,Superkingdom,Phylum,Source,Note,Growth_rate
536,Chromobacterium violaceum,0.4,NA,1.75,NA,um,2.93E-19,m^3,oval,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva","555, 4695, 7728, 12331, 12715, 14197, 18701, 18707, 18718, 18723, 18840",0.437316712
562,Escherichia dysenteriae,0.5,NA,2,NA,um,3.60E-19,m^3,rod,Bacteria,Proteobacteria,"bacdive-microa, corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva","1, 151, 555, 4393, 7939, 7951, 8691, 9139, 9152, 9460, 9473, 9704, 9716, 9902, 9912, 10054, 10067, 10196, 10208, 10312, 10323, 10411, 10421, 10493, 10502, 10571, 10581, 10648, 10658, 10719, 10728, 10782, 10791, 10841, 10849, 10893, 10900, 10937, 10946, 10988, 10997, 11027, 11036, 11063, 11072, 11103, 11110, 11143, 11150, 11180, 11188, 11216, 11225, 11249, 11257, 11283, 11288, 11314, 11319, 11338, 11344, 11358, 11366, 11379, 11386, 11402, 11408, 11452, 11462, 11465, 11470, 11474, 11481, 11485, 11493, 11497, 11504, 11507, 11514, 11517, 11522, 11526, 11527, 11530, 11533, 11535, 11539, 11542, 11544, 11549, 11552, 11556, 11560, 11566, 11568, 11571, 11573, 11578, 11598, 11454, 11606, 11610, 10377, 11623, 11629, 11630, 11636, 11638, 11644, 11647, 11654, 11655, 11662, 11674, 11681, 11698, 11702, 7902, 11718, 11722, 11728, 11731, 11737, 11742, 11743, 11749, 11752, 11757, 11758, 11764, 11767, 11777, 11778, 11781, 11785, 11790, 11794, 11801, 11805, 11808, 11812, 11816, 11820, 11833, 11840, 11843, 11847, 11850, 11855, 11861, 11865, 11867, 11870, 11872, 11873, 11884, 11887, 11890, 11894, 11896, 11904, 11907, 11908, 11911, 11924, 11981, 11983, 11984, 11987, 11988, 11989, 12018, 12021, 9287, 8186, 12025, 12027, 12028, 12031, 12032, 12034, 12035, 12036, 12037, 12040, 12041, 12044, 12045, 12048, 12050, 12053, 12054, 12057, 12065, 12066, 4576, 12069, 12070, 12071, 12072, 12073, 12074, 12075, 12076, 12080, 12082, 12084, 12090, 12093, 12094, 12096, 12101, 12102, 12103, 9801, 8538, 12110, 12111, 12112, 12113, 12114, 12115, 12116, 12117, 12118, 12119, 12120, 12121, 12122, 12123, 12124, 12125, 12128, 12131, 12134, 12137, 12139, 12141, 12144, 12145, 6286, 12147, 12148, 12149, 12150, 12151, 12152, 12153, 12154, 12155, 7162, 12156, 12157, 10621, 12160, 12161, 12162, 12163, 12164, 12165, 12166, 12167, 12168, 12169, 12170, 12171, 12172, 12173, 12174, 12175, 9317, 12176, 12177, 12178, 12179, 12180, 12181, 12182, 12183, 12184, 12185, 12186, 12187, 5131, 12188, 12189, 12190, 9974, 12191, 12192, 12194, 12197, 12198, 12199, 12200, 12201, 12202, 12203, 4607, 12322, 12323, 12324, 12325, 12326, 12327, 12328, 12329, 12330, 12331, 12933, 12934, 12935, 12936, 12937, 14064, 14098, 14102, 14121, 14156, 14377, 14412, 14464, 14629, 14630, 14705, 14711, 14736, 14817, 14823, 14835, 14865, 14866, 14867, 14868, 14869, 14870, 14893, 14952, 14970, 14978, 14983, 14988, 15040, 15041, 15042, 15117, 15618, 15889, 15890, 15891, 15892, 15893, 15894, 15895, 15896, 15897, 15898, 15924, 15960, 15961, 15962, 15963, 15971, 15989, 15994, 15995, 15997, 16015, 16135, 16136, 16188, 16312, 16403, 16689, 16690, 16738, 16818, 16819, 17985, 18545, 18560, 18701, 18707, 18718, 18747, 18723, 18857",0.585428362
727,Haemophilus influenzae,0.3,0.5,0.5,3,um,2.03E-19,m^3,rod,Bacteria,Proteobacteria,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 555, 4404, 7929, 7961, 8681, 8713, 9130, 9161, 9451, 9481, 9697, 9725, 10048, 4607, 10190, 4576, 10306, 10663, 5131, 10934, 12206, 12207, 12208, 12331, 13017, 14059, 14289, 14582, 14583, 15312, 15317, 15620, 15874, 15875, 16682, 17183, 17219, 17442, 18560, 18701, 18707, 18718, 18723, 18864",0.496168347
730,Haemophilus_B ducreyi,0.5,NA,1.5,2,um,3.11E-19,m^3,rod,Bacteria,Proteobacteria,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 555, 4593, 7774, 4576, 12331, 13016, 14185, 18701, 18707, 18718, 18723, 18863",0.156396024
747,Pasteurella multocida,0.6,2.5,0.6,2.5,um,1.95E-18,m^3,rod,Bacteria,Proteobacteria,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva","1, 555, 4562, 7799, 8073, 8582, 8796, 9053, 9233, 9386, 9538, 9642, 9776, 9849, 9956, 10008, 4576, 5584, 10914, 10923, 10961, 10973, 11009, 4607, 11783, 12331, 13497, 14100, 15629, 15675, 15951, 17078, 18701, 18707, 18718, 18723, 18915",0.213341699
781,Rickettsia conorii,0.4,NA,0.6,2,um,1.47E-19,m^3,rod,Bacteria,Proteobacteria,"genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","4596, 12331, 13661, 14114, 18701, 18707, 18718, 18723, 18940",0.053335425
785,Rickettsia typhi,0.3,0.4,1,1.5,um,1.09E-19,m^3,rod,Bacteria,Proteobacteria,"genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","4957, 7661, 8160, 12331, 13666, 14238, 15700, 15705, 18701, 18707, 18718, 18723, 18942",0.0149234
891,Desulfuromonas acetoxidans,0.4,0.8,1,4,um,6.50E-19,m^3,rod,Bacteria,Desulfuromonadota,"corkrey, engqvist, gold, microbe-directory, patric, protraits, bergeys","17, 555, 12331, 18701, 18707, 18718",0.134853537
913,Nitrobacter winogradskyi,0.6,0.8,1,2,um,4.87E-19,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4787, 12331, 13407, 14315, 18701, 18707, 18718, 18723, 18908",0.024757909
915,Nitrosomonas europaea,0.8,1.1,1,1.7,um,7.32E-19,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4599, 12331, 13412, 14180, 18701, 18707, 18718, 18723, 18909",0.089116377
920,Acidithiobacillus ferrooxidans_B,0.5,NA,1,NA,um,1.64E-19,m^3,rod,Bacteria,Proteobacteria,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","140, 555, 4600, 7771, 12331, 12351, 14797, 14849, 18701, 18707, 18718, 18723",0.000837493
929,Thermithiobacillus tepidarius,0.5,NA,1,2,um,3.93E-19,m^3,oval,Bacteria,Proteobacteria,"corkrey, engqvist, gold, protraits, bergeys","355, 555, 12331, 18718",0.061882616
930,Acidithiobacillus thiooxidans,0.5,NA,1,2,um,2.62E-19,m^3,rod,Bacteria,Proteobacteria,"corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","140, 555, 12331, 18701, 18707",0.004838622
931,Thiobacillus thioparus,0.3,0.5,0.7,4,um,2.79E-19,m^3,rod,Bacteria,Proteobacteria,"corkrey, engqvist, gold, microbe-directory, pasteur","453, 555, 12331, 18701",0.024519692
940,Hydrogenobacter thermophilus,0.3,0.5,2,3,um,2.97E-19,m^3,rod,Bacteria,Aquificota,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb","251, 555, 5102, 7623, 12331, 13070, 15094, 15999, 18560, 18701, 18707, 18718, 18723",0.01066249
1063,Rhodobacter_F sphaeroides,1.14,1.2,1.73,3,um,2.12E-18,m^3,rod,Bacteria,Proteobacteria,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva","555, 4460, 8005, 8640, 8754, 9092, 9196, 9417, 9509, 12331, 13637, 14323, 14523, 14551, 14883, 18701, 18707, 18718, 18723, 18934",0.125501934
1097,Chlorobaculum tepidum,0.6,0.8,1.3,2.6,um,6.61E-19,m^3,rod,Bacteria,Bacteroidota,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","245, 555, 4656, 12331, 12710, 14140, 18701, 18707, 18718, 18723, 18838",0.055701316
1126,Microcystis aeruginosa_A,3.821,5.4,2.61,5.4,um,8.92E-17,m^3,oval,Bacteria,Cyanobacteria,"edwards, engqvist, genbank, gold, jemma-refseq, kegg, kremer, microbe-directory, nielsensl, patric, protraits, rrndb","551, 555, 4537, 7820, 8055, 8599, 12331, 13311, 14686, 18538, 18701, 18703, 18707, 18718, 18723",0.024406591
1148,Synechocystis sp000284455,1.34,1.69,1.34,1.69,um,3.64E-18,m^3,oval,Bacteria,Cyanobacteria,"genbank, gold, jemma-refseq, kegg, kremer, mediadb, patric, prochlorococcus, protraits, rrndb, silva","5799, 7399, 8286, 8431, 8914, 8960, 9323, 12331, 13893, 14062, 15676, 15677, 15786, 15991, 16335, 18538, 18560, 18707, 18711, 18718, 18723, 18967",0.019729234
1219,Prochlorococcus_C marinus_B,0.593,0.699,1.6,NA,um,4.54E-19,m^3,rod,Bacteria,Cyanobacteria,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, kremer, microbe-directory, patric, prochlorococcus, protraits, rrndb, silva","55, 555, 4409, 7924, 7966, 8676, 8718, 9125, 9166, 9693, 9729, 9891, 11059, 12331, 13552, 13553, 13554, 13555, 13556, 13557, 13558, 13559, 14187, 14192, 14193, 14306, 14336, 14503, 14504, 14505, 14506, 14527, 14637, 14655, 18538, 18701, 18707, 18708, 18709, 18710, 18717, 18718, 18723, 18922",0.021429147
1280,Staphylococcus aureus,0.803,NA,0.803,NA,um,5.42E-19,m^3,oval,Bacteria,Firmicutes,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva","1, 555, 4388, 7943, 7946, 8696, 8699, 9144, 9147, 9465, 9468, 9708, 9711, 9905, 9908, 10059, 10062, 10201, 10204, 10316, 10319, 10415, 10418, 10496, 10499, 10574, 10577, 10652, 10655, 10722, 10725, 10785, 10788, 10844, 10847, 10895, 10898, 10940, 10943, 10991, 10994, 11030, 11033, 11066, 11069, 11105, 11108, 4576, 11147, 11185, 11219, 11222, 11252, 11255, 11284, 11361, 11364, 11381, 11384, 11404, 11407, 11419, 11422, 11541, 11546, 11547, 11554, 11555, 11562, 11563, 11569, 11570, 11574, 11575, 11579, 11580, 11584, 11585, 11592, 4607, 11596, 11603, 11613, 11614, 11618, 11619, 11625, 11626, 11633, 11641, 11649, 11652, 11657, 11660, 11667, 11669, 11677, 11678, 11689, 11690, 11696, 11704, 11711, 11714, 11716, 11723, 11726, 11733, 11736, 11738, 11741, 11744, 11747, 11753, 11756, 11760, 11763, 11768, 11771, 11773, 11798, 11799, 11802, 11804, 11809, 11811, 11817, 11819, 11825, 11828, 11834, 11837, 11842, 11848, 11849, 11856, 11857, 11862, 11866, 11871, 10377, 11880, 11881, 11883, 11885, 7610, 11893, 11899, 11910, 11913, 7162, 11925, 11928, 11930, 11933, 11935, 11938, 11962, 11963, 11964, 11966, 11967, 11968, 11985, 11993, 11995, 11999, 12000, 12003, 12004, 12007, 12008, 12016, 12318, 12319, 12320, 12321, 12331, 13794, 13795, 14105, 14106, 14138, 14228, 14229, 14269, 14342, 14362, 14363, 14561, 14595, 14596, 14627, 14668, 15059, 15644, 15645, 15764, 15765, 15781, 15782, 15783, 15784, 15844, 15937, 15953, 15954, 15964, 15965, 15979, 16211, 16480, 16557, 16572, 16663, 16669, 16670, 16692, 16693, 16728, 16903, 16911, 16912, 16913, 16914, 16915, 16916, 16917, 16918, 17225, 17226, 17498, 18338, 18557, 18560, 18701, 18707, 18718, 18723, 18952",0.245188249
1299,Deinococcus radiodurans,0.5,3.5,0.5,3.5,um,8.38E-18,m^3,oval,Bacteria,Deinococcota,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","1, 555, 4613, 7761, 12331, 12841, 14081, 18560, 18701, 18707, 18718, 18723, 18849",0.11796242
1308,Streptococcus thermophilus,0.7,1,0.7,1,um,6.43E-19,m^3,oval,Bacteria,Firmicutes,"bacdive-microa, corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","1, 139, 555, 4435, 7900, 7986, 8656, 8737, 9106, 9183, 9431, 9498, 9679, 9743, 9877, 9933, 10031, 10087, 10176, 10225, 10293, 10340, 10395, 10435, 10478, 10517, 4607, 10595, 11230, 12331, 13837, 13838, 14256, 14257, 14453, 15872, 15920, 16009, 17116, 18329, 18545, 18560, 18701, 18707, 18718, 18761, 18723, 18959",0.521555441
1309,Streptococcus mutans,0.5,0.75,0.5,0.75,um,2.56E-19,m^3,oval,Bacteria,Firmicutes,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","1, 555, 4546, 7812, 8061, 8593, 8790, 9059, 9226, 4607, 12331, 13828, 14151, 15112, 15980, 16077, 17505, 18701, 18707, 18718, 18723, 18956",0.193941573
1311,Streptococcus agalactiae,0.6,1.2,0.6,1.2,um,7.63E-19,m^3,oval,Bacteria,Firmicutes,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","1, 555, 4419, 7914, 7976, 8666, 8727, 9116, 9175, 9439, 9686, 9737, 9883, 9926, 10038, 10080, 10181, 10221, 10298, 10336, 10399, 10431, 10513, 10562, 10591, 10637, 10669, 10711, 4576, 11001, 11023, 11114, 11138, 11227, 11246, 11260, 11280, 4607, 12220, 12221, 12222, 12223, 12224, 12225, 12226, 12227, 12228, 12229, 12230, 12231, 12232, 12233, 12234, 12235, 12236, 12237, 12238, 12239, 12240, 12241, 12242, 12243, 12244, 12245, 12246, 12247, 12248, 12249, 12250, 12251, 12252, 12253, 12255, 12256, 12257, 12258, 12259, 12260, 12261, 12262, 12263, 12264, 12265, 12331, 13818, 14143, 14155, 14317, 16127, 16210, 16518, 16558, 16559, 16560, 16951, 17181, 17249, 17250, 18540, 18701, 18707, 18718, 18749, 18723, 18955",0.266697645
1313,Streptococcus pneumoniae,0.5,1.25,0.5,1.25,um,7.02E-19,m^3,oval,Bacteria,Firmicutes,"bacdive-microa, corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, pasteur, patric, protraits, rrndb, silva, bergeys","1, 30, 555, 4394, 7938, 7952, 8690, 8704, 9138, 9153, 9459, 9474, 9703, 9717, 9901, 9913, 10053, 10068, 10195, 10209, 10311, 10324, 10410, 10422, 10492, 10503, 10570, 10582, 10647, 10659, 4607, 10729, 10781, 10792, 10840, 10850, 10892, 10901, 10936, 10947, 10987, 5131, 11073, 11151, 12307, 12331, 13831, 14111, 14113, 14452, 14697, 14729, 14773, 14882, 14911, 14912, 14913, 14914, 15184, 15231, 15232, 15966, 15967, 15968, 15981, 16124, 16206, 16490, 16491, 16492, 16493, 16732, 18558, 18707, 18718, 18723, 18957",0.242443925
1314,Streptococcus pyogenes,0.5,1,0.5,1,um,4.42E-19,m^3,oval,Bacteria,Firmicutes,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","1, 555, 4407, 7926, 7964, 8678, 8716, 9127, 9164, 9448, 9484, 9694, 9728, 9892, 9920, 10045, 10074, 10187, 10216, 10303, 10331, 10404, 10428, 10486, 10509, 10565, 10588, 10641, 10666, 10713, 10797, 10835, 10855, 10889, 10904, 10984, 11000, 11024, 4576, 11060, 11076, 11100, 11113, 11140, 4607, 11190, 11214, 11247, 11259, 11281, 11290, 11312, 11321, 11336, 11346, 12126, 12129, 12130, 12135, 12331, 13832, 14104, 14131, 14141, 14169, 14236, 14301, 14302, 14394, 14395, 14396, 14397, 14536, 14819, 15692, 15913, 15956, 16207, 16361, 16598, 17206, 18559, 18701, 18707, 18718, 18723, 18958",0.507800132
1390,Bacillus velezensis,0.565,0.64,2.15,2.7,um,6.34E-19,m^3,rod,Bacteria,Firmicutes,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb","555, 4547, 7811, 8062, 8592, 8791, 9058, 9227, 9389, 9534, 9646, 9773, 9853, 9954, 10011, 10109, 10153, 10242, 10276, 10352, 10383, 10446, 10468, 10528, 10548, 10607, 10625, 10682, 12331, 12458, 15244, 15719, 15730, 15731, 16001, 16329, 16735, 16789, 18560, 18701, 18707, 18718, 18723",0.230818242
1392,Bacillus_A anthracis,1,1.2,3,5,um,3.45E-18,m^3,rod,Bacteria,Firmicutes,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4416, 7917, 7973, 8669, 8724, 9119, 9172, 9442, 9489, 9689, 9734, 9886, 9924, 10041, 10078, 10184, 10219, 10300, 10334, 10401, 10430, 10483, 10512, 10563, 10590, 10638, 10668, 10712, 7285, 10776, 10834, 11099, 4576, 11139, 11154, 11178, 11191, 11213, 11929, 11934, 12331, 12459, 12460, 14179, 14224, 14230, 14925, 14931, 15922, 16806, 16807, 16930, 17146, 17209, 18701, 18707, 18718, 18723, 18807",0.114759467
1398,Bacillus_E coagulans_A,0.7,0.8,2.75,4.25,um,1.44E-18,m^3,rod,Bacteria,Firmicutes,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, pasteur, patric, protraits, rrndb","54, 555, 4812, 7693, 8137, 7175, 8836, 9018, 9264, 9361, 12331, 12464, 15439, 15531, 17434, 18707, 18718, 18723",0.107698443
1402,Bacillus haynesii,0.6,0.8,1.5,3,um,7.76E-19,m^3,rod,Bacteria,Firmicutes,"engqvist, genbank, gold, jemma-refseq, kegg, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4430, 7905, 7983, 8659, 8734, 9109, 9180, 9434, 9496, 9681, 9742, 9878, 9931, 10033, 10085, 12331, 12469, 14242, 14245, 18707, 18718, 18723, 18810",0.367912516
1405,Bacillus_A mycoides,1,1.2,3,5,um,3.45E-18,m^3,rod,Bacteria,Firmicutes,"engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 4554, 8068, 8586, 12331, 12472, 17004, 17506, 18542, 18701, 18707, 18718, 18723",0.79539267
1409,Bacillus subtilis,0.5,NA,2.5,NA,um,4.58E-19,m^3,rod,Bacteria,Firmicutes,"bacdive-microa, corkrey, engqvist, gold, kegg, rrndb","1, 481, 555, 12331, 17541, 18723",0.06659114
1422,Geobacillus sp002809955,0.6,1,2,3.5,um,1.25E-18,m^3,rod,Bacteria,Firmicutes,"corkrey, engqvist, genbank, gold, kegg, pasteur, patric, protraits, rrndb, bergeys","54, 555, 4494, 7853, 12331, 17726, 18707, 18718, 18723",0.100836075
1423,Bacillus_A cereus,0.7,0.8,2,3,um,9.94E-19,m^3,rod,Bacteria,Firmicutes,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","54, 555, 4484, 7860, 8022, 8626, 8769, 9080, 9209, 9406, 9518, 9660, 9760, 9862, 9946, 10017, 10102, 10160, 10237, 10281, 10348, 10387, 10443, 10471, 10551, 10604, 10627, 10679, 10700, 10743, 10765, 10808, 10825, 10865, 10877, 10912, 10924, 10959, 11007, 11017, 11044, 11052, 11083, 11092, 11121, 11130, 11162, 11172, 11197, 11206, 11234, 11242, 11267, 11275, 11297, 11305, 11326, 11332, 11348, 11353, 11167, 11391, 11398, 11411, 11415, 11426, 11806, 11807, 11813, 11814, 11822, 12331, 12482, 14067, 15225, 15333, 15538, 15732, 16164, 16256, 16326, 16365, 16382, 16469, 16761, 17189, 17190, 17203, 18540, 18560, 18701, 18707, 18718, 18790, 18723, 18811",0.42187899
1450,Alicyclobacillus acidoterrestris,0.6,0.8,2.9,4.3,um,1.30E-18,m^3,rod,Bacteria,Firmicutes_K,"corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","357, 555, 12331, 18701, 18707",0.086643398
1462,Geobacillus thermoleovorans,0.7,1.5,2,4.5,um,2.74E-18,m^3,rod,Bacteria,Firmicutes,"engqvist, genbank, gold, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 4965, 12331, 14261, 18701, 18707, 18718, 18723",0.109398229
1465,Brevibacillus_B laterosporus,0.5,0.9,2,5,um,1.26E-18,m^3,rod,Bacteria,Firmicutes_I,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","459, 555, 5465, 7512, 8237, 12331, 12564, 17474, 18701, 18707, 18718, 18723",0.114437375
1482,Virgibacillus halodenitrificans,0.6,0.8,2.5,4,um,1.67E-18,m^3,oval,Bacteria,Firmicutes,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb, bergeys","426, 555, 5940, 12331, 14019, 18132, 18701, 18718, 18723",0.16145986
1488,Clostridium_S acetobutylicum,0.5,0.9,1.6,6.4,um,1.45E-18,m^3,rod,Bacteria,Firmicutes_A,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4610, 7763, 8094, 12331, 12725, 14110, 15460, 15759, 18560, 18701, 18707, 18718, 18723, 18841",0.126256317
1491,Clostridium_H haemolyticum,0.6,1.4,3,20.2,um,8.85E-18,m^3,rod,Bacteria,Firmicutes_A,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","52, 555, 4518, 7835, 8045, 8608, 8781, 9069, 9219, 9397, 9526, 9652, 9767, 9858, 9949, 10015, 10105, 10158, 10239, 10279, 10350, 10385, 10445, 10469, 10526, 10550, 10605, 10626, 10680, 10699, 10744, 10764, 10809, 10866, 10876, 10913, 10960, 10377, 11895, 11900, 12331, 12731, 12732, 12733, 12734, 14572, 14602, 14613, 14614, 14709, 14710, 14735, 14806, 14922, 14934, 15391, 15760, 15970, 18543, 18701, 18707, 18718, 18723",0.484718308
