GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,OptimumTemp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
Acidihalobacter prosperus,Acidihalobacter,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,1.32E-05,s^-1,37,Celsius,2.40E-19,m^3,"corkrey, engqvist, genbank, gold, kegg, patric, rrndb, bergeys","413, 555, 8357, 12331, 18089, 18707, 18723"
Acidithiobacillus caldus,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1.36E-05,s^-1,45.5,Celsius,5.52E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","254, 555, 5114, 7616, 8184, 12331, 12349, 15492, 17288, 18701, 18707, 18718, 18782, 18723"
Acidithiobacillus ferridurans,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1.93E-05,s^-1,29,Celsius,1.77E-18,m^3,"corkrey, engqvist, fierer, patric","86, 555, 567, 18707"
Acidithiobacillus ferrooxidans,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,2.33E-07,s^-1,29.5,Celsius,1.64E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","140, 555, 4600, 7771, 12331, 12351, 14797, 14849, 18701, 18707, 18718, 18723"
Acidithiobacillus thiooxidans,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1.34E-06,s^-1,28,Celsius,2.62E-19,m^3,"corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","140, 555, 12331, 18701, 18707"
Acutodesmus acuminatus,Acutodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Phytoplankton,9.95E-06,s^-1,27.5,Celsius,1.75E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),Acutodesmus acuminatus also is know as Scenedesmus acuminatus
Aeribacillus pallidus,Aeribacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,5.89E-05,s^-1,55.0274,Celsius,1.93E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,"pg. 156,  Reclassification of Geobacillus as Aeribacillus: https://www.ncbi.nlm.nih.gov/pubmed/19700455 "
Aeromonas hydrophila,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00051042,s^-1,30.95,Celsius,2.49E-18,m^3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,
Alexandrium catenella,Alexandrium,Goniodomataceae,Gonyaulacales,Dinophyceae,,Phytoplankton,9.84E-06,s^-1,27,Celsius,9.74E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Alexandrium ostenfeldii,Alexandrium,Goniodomataceae,Gonyaulacales,Dinophyceae,,Phytoplankton,2.55E-06,s^-1,20.3,Celsius,2.04E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Alexandrium tamarense,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,,Phytoplankton,3.69E-06,s^-1,20,Celsius,8.84E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Alicyclobacillus acidocaldarius,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,2.22E-05,s^-1,60.4,Celsius,7.73E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, rrndb","238, 555, 5029, 7637, 12331, 12396, 15024, 15716, 18701, 18707, 18723"
Alicyclobacillus acidoterrestris,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,2.41E-05,s^-1,48,Celsius,1.30E-18,m^3,"corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","357, 555, 12331, 18701, 18707"
Alicyclobacillus hesperidum,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,3.77E-05,s^-1,48.75,Celsius,1.13E-18,m^3,"corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","357, 555, 12331, 18701, 18707"
Alicyclobacillus pomorum,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1.91E-05,s^-1,47.5,Celsius,1.72E-18,m^3,"corkrey, engqvist, gold, pasteur, patric","213, 555, 12331, 18707"
Alkalibacterium iburiense,Alkalibacterium,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,2.48E-05,s^-1,33.5,Celsius,5.09E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur","524, 555, 738, 12331"
Alkalibacterium indicireducens,Alkalibacterium,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,7.06E-05,s^-1,25,Celsius,1.22E-18,m^3,"corkrey, fierer, gold","521, 739, 12331"
Alkaliphilus transvaalensis,Alkaliphilus,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000272,s^-1,40.0048,Celsius,1.29E-18,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.829
Alkalispirochaeta alkalica,Alkalispirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes,Bacteria,2.59E-06,s^-1,35,Celsius,9.54E-20,m^3,"corkrey, engqvist, gold, microbe-directory, bergeys","338, 555, 12331, 18701"
Amphibacillus cookii,Amphibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,3.29E-05,s^-1,39,Celsius,1.03E-18,m^3,"corkrey, engqvist, fierer","537, 555, 782"
Amphidinium klebsii,Amphidinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,,Phytoplankton,4.28E-06,s^-1,27,Celsius,1.11E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Amphiprora paludosa,Amphiprora,Amphipleuraceae,Naviculales,Bacillariophyceae,Bacillariophyta,Phytoplankton,2.15E-05,s^-1,25,Celsius,1.93E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Anabaena bergii,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,3.01E-06,s^-1,25,Celsius,6.00E-17,m^3,,
Anabaena macrospora,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,2.20E-06,s^-1,25,Celsius,6.50E-17,m^3,,
Anabaena spiroides,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,5.90E-06,s^-1,24,Celsius,8.37E-16,m^3,,
Anabaena ucrainica,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,9.03E-06,s^-1,26,Celsius,6.50E-17,m^3,,
Anacystis incerta,Anacystis,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanophyta,Bacteria,3.63E-06,s^-1,29,Celsius,5.28E-17,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",Saujanya’s phytoplankton data. Average mean cell volume
Anaerobranca californiensis,Anaerobranca,Proteinivoraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.81E-05,s^-1,58,Celsius,2.70E-19,m^3,"engqvist, fierer, gold, bergeys","555, 815, 12331"
Anaerobranca gottschalkii,Anaerobranca,Proteinivoraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2.08E-05,s^-1,52.5,Celsius,4.86E-19,m^3,"corkrey, engqvist, gold","122, 555, 12331"
Anaerocolumna jejuensis,Anaerocolumna,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,9.17E-06,s^-1,30,Celsius,6.52E-19,m^3,"corkrey, engqvist, fierer, gold","76, 555, 1347, 12331"
Anaerolinea thermolimosa,Anaerolinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,Bacteria,5.01E-07,s^-1,50,Celsius,1.28E-17,m^3,"corkrey, engqvist, fierer, patric","216, 555, 817, 18707"
Ankistrodesmus falcatus,Ankistrodesmus,Ankistrodesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Phytoplankton,1.50E-05,s^-1,35,Celsius,2.83E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Aphanizomenon aphanizomenoides,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanophyta,Bacteria,1.68E-05,s^-1,35,Celsius,1.46E-16,m^3,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,Heterocytes cell size
Aphanizomenon flosaquae,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanophyta,Bacteria,1.36E-05,s^-1,25,Celsius,1.96E-15,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",Saujanya’s phytoplankton data
Aphanizomenon gracile,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,1.01E-05,s^-1,32.5,Celsius,6.15E-16,m^3,,
Aphanizomenon ovalisporum,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,4.05E-06,s^-1,35,Celsius,1.67E-16,m^3,,
Archaeoglobus fulgidus,Archaeoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,3.31E-07,s^-1,77.667,Celsius,2.88E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","20, 555, 4624, 7758, 12331, 12431, 14068, 16996, 18701, 18707, 18718, 18723, 18804"
Archaeoglobus profundus,Archaeoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,6.81E-07,s^-1,82,Celsius,2.48E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, patric, protraits, rrndb","508, 555, 5059, 12331, 12432, 15081, 18707, 18718, 18723"
Archaeoglobus veneficus,Archaeoglobus,Archaeoglobaceae,Archaeoglobales,Archaeoglobi,Euryarchaeota,Archaea,2.97E-06,s^-1,76.25,Celsius,6.43E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","492, 555, 5332, 12331, 12434, 15367, 18701, 18707, 18718, 18723"
Arthrospira fusiformis,Arthrospira,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanophyta,Bacteria,1.79E-06,s^-1,37,Celsius,1.16E-14,m^3,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,
Asterionella formosa,Asterionella,Fragilariaceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Phytoplankton,1.28E-05,s^-1,17,Celsius,2.53E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Asterionellopsis glacialis,Asterionellopsis,Fragilariaceae,Fragilariales,Bacillariophyceae,Bacillariophyta,Phytoplankton,2.30E-05,s^-1,25,Celsius,4.44E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Aulacoseira subarctica,Aulacoseira,Melosiraceae,Melosirales,Bacillariophyceae,Bacillariophyta,Phytoplankton,1.72E-06,s^-1,16,Celsius,1.60E-15,m^3,https://www.tandfonline.com/doi/abs/10.1080/0967026031000094102,cell length:2.5-18.0; cell width:3.0-15.0 (micrometers)
Azotobacter chroococcum,Azotobacter,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,0.000245746,s^-1,26.2,Celsius,1.24E-17,m^3,"engqvist, genbank, gold, kegg, masonmm, pasteur, patric, rrndb","555, 6115, 7274, 12331, 17366, 18539, 18707, 18723"
Bacillus amyloliquefaciens,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,6.41E-05,s^-1,35.2,Celsius,1.07E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 4547, 7811, 8062, 8592, 8791, 9058, 9227, 9389, 9534, 9646, 9773, 9853, 9954, 10011, 10109, 10153, 10242, 10276, 10352, 10383, 10446, 10468, 10528, 10548, 10607, 10625, 10682, 12331, 12458, 15244, 15719, 15730, 15731, 16001, 16329, 16735, 16789, 18560, 18701, 18707, 18718, 18723"
Bacillus anthracis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,3.19E-05,s^-1,33,Celsius,3.45E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4416, 7917, 7973, 8669, 8724, 9119, 9172, 9442, 9489, 9689, 9734, 9886, 9924, 10041, 10078, 10184, 10219, 10300, 10334, 10401, 10430, 10483, 10512, 10563, 10590, 10638, 10668, 10712, 7285, 10776, 10834, 11099, 4576, 11139, 11154, 11178, 11191, 11213, 11929, 11934, 12331, 12459, 12460, 14179, 14224, 14230, 14925, 14931, 15922, 16806, 16807, 16930, 17146, 17209, 18701, 18707, 18718, 18723, 18807"
Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.00079621,s^-1,42.5248,Celsius,3.65E-18,m^3,"https://academic.oup.com/femsre/article/32/4/579/1813157,http://www.pnas.org/content/105/44/16994 ",
Bacillus coagulans,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,2.99E-05,s^-1,50.4,Celsius,1.44E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, pasteur, patric, protraits, rrndb","54, 555, 4812, 7693, 8137, 7175, 8836, 9018, 9264, 9361, 12331, 12464, 15439, 15531, 17434, 18707, 18718, 18723"
Bacillus infernus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.00031943,s^-1,59.9445,Celsius,2.67E-18,m^3,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",
Bacillus licheniformis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.000102198,s^-1,39.375,Celsius,7.76E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4430, 7905, 7983, 8659, 8734, 9109, 9180, 9434, 9496, 9681, 9742, 9878, 9931, 10033, 10085, 12331, 12469, 14242, 14245, 18707, 18718, 18723, 18810"
Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.00115208,s^-1,64.64333128,Celsius,4.88E-18,m^3,Size:Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes Mass:http://www.pnas.org/content/105/44/16994,pg.21
Bacillus mycoides,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.000220942,s^-1,30,Celsius,3.45E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 4554, 8068, 8586, 12331, 12472, 17004, 17506, 18542, 18701, 18707, 18718, 18723"
Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.000117189,s^-1,33.441,Celsius,9.94E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","54, 555, 4484, 7860, 8022, 8626, 8769, 9080, 9209, 9406, 9518, 9660, 9760, 9862, 9946, 10017, 10102, 10160, 10237, 10281, 10348, 10387, 10443, 10471, 10551, 10604, 10627, 10679, 10700, 10743, 10765, 10808, 10825, 10865, 10877, 10912, 10924, 10959, 11007, 11017, 11044, 11052, 11083, 11092, 11121, 11130, 11162, 11172, 11197, 11206, 11234, 11242, 11267, 11275, 11297, 11305, 11326, 11332, 11348, 11353, 11167, 11391, 11398, 11411, 11415, 11426, 11806, 11807, 11813, 11814, 11822, 12331, 12482, 14067, 15225, 15333, 15538, 15732, 16164, 16256, 16326, 16365, 16382, 16469, 16761, 17189, 17190, 17203, 18540, 18560, 18701, 18707, 18718, 18790, 18723, 18811"
Balneola alkaliphila,Balneola,Balneolaceae,Balneolales,Balneolia,Balneolaeota,Bacteria,4.36E-05,s^-1,25,Celsius,9.11E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur","126, 555, 1056, 12331"
Balneola vulgaris,Balneola,Balneolaceae,Balneolales,Balneolia,Balneolaeota,Bacteria,3.07E-05,s^-1,30,Celsius,8.04E-20,m^3,"corkrey, engqvist, fierer, gold, microbe-directory, pasteur, patric","161, 555, 1057, 12331, 18701, 18707"
Bosea eneae,Bosea,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,4.36E-06,s^-1,27.931,Celsius,9.60E-19,m^3,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA710&lpg=PA710&dq=Hydrogenophaga+pseudoflava+cell+size&source=bl&ots=cYZTDQzGbm&sig=5P5ROil4OvMEgQ_cg2UuXk00Vyc&hl=en&sa=X&ved=0ahUKEwid5Ovxl5DbAhXFB8AKHUlzAkkQ6AEIVDAH#v=onepage&q=Bosea%20eneae&f=false,"pg. 438,  size info of Family: Bradyrhizobiaceae use"
Bradyrhizobium diazoefficiens,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,5.53E-06,s^-1,27.6,Celsius,1.29E-18,m^3,"fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","1103, 6139, 7264, 8347, 8398, 8934, 12331, 12558, 14159, 18701, 18707, 18718, 18723, 18821"
Brevibacillus laterosporus,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria,3.18E-05,s^-1,37,Celsius,1.26E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","459, 555, 5465, 7512, 8237, 12331, 12564, 17474, 18701, 18707, 18718, 18723"
Brochothrix thermosphacta,Brochothrix,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria,0.00028566,s^-1,24.953,Celsius,5.00E-19,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,"pg.257, Genus: Brochothrix size info used"
Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,2.96E-05,s^-1,37,Celsius,2.40E-19,m^3,"engqvist, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4465, 7875, 8010, 8635, 8759, 9088, 9200, 9413, 9513, 9665, 9756, 9866, 9943, 10020, 10098, 10165, 10234, 10284, 12331, 14284, 14343, 14742, 15607, 17077, 17144, 17196, 17197, 17208, 17409, 17410, 18701, 18707, 18718, 18723, 18822"
Bryocella elongata,Bryocella,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,5.41E-06,s^-1,22,Celsius,1.46E-18,m^3,"corkrey, engqvist, fierer, gold","520, 555, 1146, 12331"
Burkholderia pseudomallei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,9.12E-05,s^-1,38.5,Celsius,9.33E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4444, 7892, 7993, 8651, 8742, 9101, 9187, 9427, 9501, 9676, 9746, 9875, 9935, 10029, 10089, 10174, 10227, 10291, 10342, 10393, 10437, 10476, 10519, 10557, 10597, 10632, 10674, 10706, 10736, 10771, 10802, 10830, 10859, 10885, 10908, 10929, 10953, 10981, 11003, 11021, 11040, 11056, 11079, 11096, 11117, 11135, 11158, 11175, 11209, 11231, 11263, 11334, 11479, 11488, 11490, 12209, 12210, 12331, 12581, 14248, 14328, 14519, 14520, 14933, 15943, 16173, 16611, 16736, 16820, 16832, 16931, 17173, 17178, 17210, 17232, 18701, 18707, 18718, 18723, 18827"
Calciodinellum albatrosianum,Calciodinellum,Peridiniaceae,Peridiniales,Dinophyceae,,Phytoplankton,2.20E-06,s^-1,28.6,Celsius,1.26E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Caldanaerobacter subterraneus,Caldanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,7.26E-05,s^-1,75.0291,Celsius,1.67E-18,m^3,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243"
Caldicellulosiruptor acetigenus,Caldicellulosiruptor,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,1.74E-06,s^-1,66.5,Celsius,2.53E-18,m^3,"corkrey, engqvist, gold, patric","7, 555, 12331, 18707"
Caldicellulosiruptor hydrothermalis,Caldicellulosiruptor,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,4.25E-06,s^-1,72,Celsius,8.20E-19,m^3,"corkrey, engqvist, fierer, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb","5, 555, 1186, 5212, 12331, 15264, 18701, 18707, 18718, 18723"
Caldicellulosiruptor kronotskyensis,Caldicellulosiruptor,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,2.41E-06,s^-1,70,Celsius,8.20E-19,m^3,"corkrey, engqvist, fierer, genbank, gold, kegg, microbe-directory, protraits, rrndb","5, 555, 1186, 5356, 12331, 15275, 18701, 18718, 18723"
Caldicellulosiruptor obsidiansis,Caldicellulosiruptor,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,0.00020873,s^-1,77.9896,Celsius,6.07E-20,m^3,https://www.ncbi.nlm.nih.gov/pubmed/20023107,
Caldisericum exile,Caldisericum,Caldisericaceae,Caldisericales,Caldisericia,Caldiserica,Bacteria,6.29E-07,s^-1,65,Celsius,4.67E-19,m^3,"corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb","198, 555, 1190, 5559, 12331, 12589, 15702, 18701, 18718, 18723"
Caloramator boliviensis,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,5.96E-06,s^-1,60,Celsius,4.58E-19,m^3,"corkrey, engqvist, fierer","77, 555, 1195"
Caloramator fervidus,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,9.88E-05,s^-1,67.743,Celsius,7.93E-19,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.836
Caloramator indicus,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.0005804,s^-1,65.1783,Celsius,2.65E-17,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.838"
Caloramator proteoclasticus,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,3.40E-05,s^-1,55,Celsius,3.85E-19,m^3,"corkrey, engqvist, gold","133, 555, 12331"
