ConPhylum,TempPref,GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,Superkingdom,GrowthRate,RateUnit,Optimum.Temp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes,Author,Temp,Unit,arrhenius_tmp,x,y,z,r.sqr,lntercept,a,RE,E,TCorrected_GrowthRate
Bacillariophyta,Mesophile,Stellarima microtrias,Stellarima,Coscinodiscaceae,Coscinodiscales,Bacillariophyceae,Phytoplankton,6.83E-06,s^-1,4,Celsius,5.39E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),NA,Hira,277.15,K,41.85794001,-11.89418588,-30.55164592,41.85794001,0.147052844,16.30677815,-0.066369453,-0.731798223,0.731798223,137259000.9
Bacillariophyta,Mesophile,Fragilariopsis kerguelensis,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Phytoplankton,6.25E-06,s^-1,4,Celsius,8.25E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),NA,Hira,277.15,K,41.85794001,-11.98292909,-34.73114829,41.85794001,0.147052844,16.30677815,-0.066369453,-0.731798223,0.731798223,125603038.9
Bacillariophyta,Mesophile,Pseudo-nitzschia turgiduloides,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Phytoplankton,5.79E-06,s^-1,3,Celsius,2.82E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),NA,Hira,276.15,K,42.00951684,-12.05937827,-35.8046246,42.00951684,0.147052844,16.30677815,-0.066369453,-0.731798223,0.731798223,130008642.2
Bacteroidetes,Mesophile,Flavobacterium weaverense,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteria,1.47E-06,s^-1,17,Celsius,1.10E-18,m^3,"corkrey, engqvist, fierer, gold, pasteur","451, 555, 1739, 12331",Madin,290.15,K,39.98251964,-13.43024816,-41.35122149,39.98251964,0.32448861,45.66246446,0.368954968,-1.054512684,1.054512684,3.00658E+12
Bacteroidetes,Mesophile,Flavobacterium hibernum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteria,3.53E-05,s^-1,25,Celsius,2.76E-18,m^3,"corkrey, engqvist, gold, pasteur, patric, bergeys","367, 555, 12331, 18707",Madin,298.15,K,38.90970342,-10.25162759,-40.43130099,38.90970342,0.32448861,45.66246446,0.368954968,-1.054512684,1.054512684,2.32924E+13
Bacteroidetes,Mesophile,Flavobacterium denitrificans,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteria,1.86E-05,s^-1,25,Celsius,6.71E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur, patric","73, 555, 1444, 12331, 18707",Madin,298.15,K,38.90970342,-10.89234898,-41.84551782,38.90970342,0.32448861,45.66246446,0.368954968,-1.054512684,1.054512684,1.2273E+13
Bacteroidetes,Mesophile,Flavobacterium antarcticum,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteria,3.48E-05,s^-1,21.2,Celsius,9.07E-20,m^3,"corkrey, engqvist, fierer, gold, microbe-directory, pasteur, patric, protraits","536, 555, 1699, 12331, 18701, 18707, 18718",Madin,294.35,K,39.41201996,-10.26589317,-43.8467296,39.41201996,0.32448861,45.66246446,0.368954968,-1.054512684,1.054512684,3.9E+13
Bacteroidetes,Mesophile,Flavobacterium segetis,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteria,7.27E-07,s^-1,16.6,Celsius,7.94E-20,m^3,"corkrey, engqvist, fierer, gold, pasteur","451, 555, 1739, 12331",Madin,289.75,K,40.03771553,-14.13433936,-43.97978858,40.03771553,0.32448861,45.66246446,0.368954968,-1.054512684,1.054512684,1.57604E+12
Bacteroidetes,Mesophile,Psychroflexus torquis,Psychroflexus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteria,1.50E-05,s^-1,11.0874,Celsius,2.23E-18,m^3,https://books.google.co.uk/books?id=0kghF7qBE98C&pg=PA258&lpg=PA258&dq=Psychroflexus+torquis+cell+size&source=bl&ots=Rkp9HzNY4S&sig=oi1y7rL_0PSrFXxrPvXfR8KnvhU&hl=en&sa=X&ved=0ahUKEwjggeHa04rbAhVKAsAKHWyXAgw4ChDoAQgtMAE#v=onepage&q=Psychroflexus%20torquis%20cell%20size&f=false,pg. 258 of Bergey’s Manual of Systematic Bacteriology Volume 4: The Bacteroidetes,Hira,284.2374,K,40.81422105,-11.10746036,-40.64453009,40.81422105,0.32448861,45.66246446,0.368954968,-1.054512684,1.054512684,7.37464E+13
Balneolaeota,Mesophile,Balneola vulgaris,Balneola,Balneolaceae,Balneolales,Balneolia,Bacteria,3.07E-05,s^-1,30,Celsius,8.04E-20,m^3,"corkrey, engqvist, fierer, gold, microbe-directory, pasteur, patric","161, 555, 1057, 12331, 18701, 18707",Madin,303.15,K,38.26794681,-10.3912479,-43.96727278,38.26794681,1,-4.037676409,0.144506836,NA,NA,NA
Balneolaeota,Mesophile,Balneola alkaliphila,Balneola,Balneolaceae,Balneolales,Balneolia,Bacteria,4.36E-05,s^-1,25,Celsius,9.11E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur","126, 555, 1056, 12331",Madin,298.15,K,38.90970342,-10.04045341,-41.53974406,38.90970342,1,-4.037676409,0.144506836,NA,NA,NA
Chloroflexi,Mesophile,Leptolinea tardivitalis,Leptolinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Bacteria,1.19E-06,s^-1,37,Celsius,4.19E-18,m^3,"corkrey, engqvist, fierer, patric","216, 555, 817, 18707",Madin,310.15,K,37.4042498,-13.64155725,-40.01383094,37.4042498,1,-65.68015471,-0.136338033,1.245398336,-1.245398336,6.99E-27
Chloroflexi,Mesophile,Levilinea saccharolytica,Levilinea,Anaerolineaceae,Anaerolineales,Anaerolineae,Bacteria,9.54E-07,s^-1,37,Celsius,2.12E-17,m^3,"corkrey, engqvist, fierer, gold, patric","216, 555, 817, 12331, 18707",Madin,310.15,K,37.4042498,-13.86260217,-38.39253049,37.4042498,1,-65.68015471,-0.136338033,1.245398336,-1.245398336,5.61E-27
Chloroflexi,Mesophile,Dehalococcoides mccartyi,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Bacteria,4.68E-06,s^-1,31,Celsius,1.54E-19,m^3,"fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","1453, 4620, 7760, 8096, 8564, 8809, 9040, 9245, 9375, 9547, 9634, 9783, 9843, 9962, 10003, 10116, 10530, 7196, 12331, 12831, 12832, 14267, 14312, 14557, 15069, 15109, 16342, 16343, 16762, 17373, 17374, 17375, 18701, 18707, 18718, 18723, 18848",Madin,304.15,K,38.14212748,-12.27221245,-43.31733435,38.14212748,1,-65.68015471,-0.136338033,1.245398336,-1.245398336,1.10E-26
Chlorophyta,Mesophile,Cladophora glomerata,Cladophora,Cladophoraceae,Cladophorales,Ulvophyceae,Phytoplankton,27115.54963,micro (s^-1),1,Celsius,1.63E-12,m^3,https://www.sciencedirect.com/science/article/pii/0921510795013156,"108 mg biomass; cell width: 40-100 um, cell length: 100-400 um",Hira,274.15,K,42.31598787,10.20786263,-27.1424411,42.31598787,0,10.20786263,NA,NA,NA,NA
Crenarchaeota,Mesophile,Thermosphaera aggregans,Thermosphaera,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Archaea,1.18E-06,s^-1,85,Celsius,5.36E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb","335, 555, 5110, 12331, 13956, 15163, 18701, 18707, 18718, 18723",Madin,358.15,K,32.39125527,-13.64999612,-42.07015279,32.39125527,0.089846583,-42.68280058,-0.258964803,0.574149347,-0.574149347,9.89E-15
Crenarchaeota,Mesophile,Sulfophobococcus zilligii,Sulfophobococcus,Desulfurococcaceae,Desulfurococcales,Thermoprotei,Archaea,4.53E-07,s^-1,85,Celsius,6.70E-17,m^3,"corkrey, engqvist, gold, bergeys","395, 555, 12331",Madin,358.15,K,32.39125527,-14.60737371,-37.24183905,32.39125527,0.089846583,-42.68280058,-0.258964803,0.574149347,-0.574149347,3.80E-15
Crenarchaeota,Mesophile,Sulfolobus acidocaldarius,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Archaea,9.86E-07,s^-1,74.375,Celsius,7.63E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","18, 555, 4798, 7696, 8135, 8532, 11299, 12331, 13863, 14292, 16319, 16320, 16799, 18701, 18707, 18718, 18723, 18961",Madin,347.525,K,33.38156413,-13.82960948,-41.71702892,33.38156413,0.089846583,-42.68280058,-0.258964803,0.574149347,-0.574149347,4.68E-15
Crenarchaeota,Mesophile,Thermoproteus uzoniensis,Thermoproteus,Thermoproteaceae,Thermoproteales,Thermoprotei,Archaea,9.97E-07,s^-1,85.5,Celsius,9.99E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, rrndb, bergeys","249, 555, 5443, 12331, 13952, 15376, 18701, 18723",Madin,358.65,K,32.34609807,-13.81851507,-41.44753217,32.34609807,0.089846583,-42.68280058,-0.258964803,0.574149347,-0.574149347,8.57E-15
Crenarchaeota,Mesophile,Stygiolobus azoricus,Stygiolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Archaea,6.69E-05,s^-1,80.0214,Celsius,1.56E-18,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/41/4/ijs-41-4-495.pdf?expires=1527182331&id=id&accname=guest&checksum=029551415D53238C48C8655C4B176E60,NA,Hira,353.1714,K,32.84786955,-9.612311591,-41.00184585,32.84786955,0.089846583,-42.68280058,-0.258964803,0.574149347,-0.574149347,4.31E-13
Crenarchaeota,Mesophile,Sulfolobus solfataricus,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Archaea,3.70E-07,s^-1,80.7,Celsius,2.87E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","555, 4565, 7796, 8076, 8579, 8799, 9050, 12331, 13865, 14108, 16019, 17611, 17612, 17613, 18701, 18707, 18718, 18723, 18962",Madin,353.85,K,32.78487516,-14.80976283,-40.39221964,32.78487516,0.089846583,-42.68280058,-0.258964803,0.574149347,-0.574149347,2.47E-15
Cyanobacteria,Mesophile,Aphanizomenon ovalisporum,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,4.05E-06,s^-1,35,Celsius,1.67E-16,m^3,NA,NA,Hira,308.15,K,37.6470163,-12.41679368,-36.32853786,37.6470163,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,9.81E-05
Cyanobacteria,Mesophile,Microcystis aeruginosa,Microcystis,Chroococcaceae,Chroococcales,Cyanophyceae,Bacteria,1.09E-05,s^-1,30,Celsius,3.30E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1,"Dell, A.I., S. Pawar, V.M. Savage. 2013. The thermal dependence of biological traits. Ecology 94: 1205.",Hira,303.15,K,38.26794681,-11.42674777,-33.34485393,38.26794681,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000278273
Cyanobacteria,Mesophile,Anabaena macrospora,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,2.20E-06,s^-1,25,Celsius,6.50E-17,m^3,NA,NA,Hira,298.15,K,38.90970342,-13.0270532,-37.2721444,38.90970342,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,5.93E-05
Cyanobacteria,Mesophile,Sphaerospermopsis aphanizomenoides,Sphaerospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,4.05E-06,s^-1,27,Celsius,5.48E-17,m^3,https://www.researchgate.net/publication/283282292_Morphological_and_ecological_characteristics_of_potentially_toxic_invasive_cyanobacterium_Sphaerospermopsis_aphanizomenoides_Forti_Zapomelova_Jezberova_Hrouzek_Hisem_Rehakova_Komarkova_Nostocales_Cyan,"Vegetative cell size; Aphanizomenon aphanizomenoides �?Name in Consumer column, avergae length of vegetative cell size",Hira,300.15,K,38.65043503,-12.41679368,-37.44284148,38.65043503,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000106798
Cyanobacteria,Mesophile,Tychonema bourrellyi,Tychonema,Phormidiaceae,Oscillatoriales,Cyanophyceae,Bacteria,8.56E-06,s^-1,17,Celsius,3.81E-16,m^3,NA,NA,Hira,290.15,K,39.98251964,-11.66841037,-35.5037323,39.98251964,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000252674
Cyanobacteria,Mesophile,Anabaena ucrainica,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,9.03E-06,s^-1,26,Celsius,6.50E-17,m^3,NA,NA,Hira,299.15,K,38.77963588,-11.61495819,-37.2721444,38.77963588,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000240739
Cyanobacteria,Mesophile,Prochlorococcus marinus,Prochlorococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Bacteria,7.18E-06,s^-1,25,Celsius,1.60E-19,m^3,NA,NA,Hira,298.15,K,38.90970342,-11.84421117,-43.27911314,38.90970342,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000193538
Cyanobacteria,Mesophile,Limnothrix redekei,Limnothrix,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Bacteria,1.53E-05,s^-1,25,Celsius,3.50E-17,m^3,NA,NA,Hira,298.15,K,38.90970342,-11.08765773,-37.89118361,38.90970342,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000412413
Cyanobacteria,Mesophile,Synechococcus elongatus,Synechococcus,Chroococcaceae,Chroococcales,Cyanophyceae,Bacteria,1.05E-05,s^-1,35,Celsius,4.00E-18,m^3,NA,NA,Hira,308.15,K,37.6470163,-11.4641353,-40.06023731,37.6470163,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000254334
Cyanobacteria,Mesophile,Anabaena spiroides,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,5.90E-06,s^-1,24,Celsius,8.37E-16,m^3,NA,NA,Hira,297.15,K,39.04064639,-12.04055821,-34.7167076,39.04064639,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000160808
Cyanobacteria,Mesophile,Anabaena bergii,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,3.01E-06,s^-1,25,Celsius,6.00E-17,m^3,NA,NA,Hira,298.15,K,38.90970342,-12.71357048,-37.35218711,38.90970342,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,8.11E-05
Cyanobacteria,Mesophile,Aphanizomenon gracile,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,1.01E-05,s^-1,32.5,Celsius,6.15E-16,m^3,NA,NA,Hira,305.65,K,37.95494217,-11.50297513,-35.02490941,37.95494217,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000251106
Cyanobacteria,Mesophile,Cylindrospermopsis raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,9.49E-06,s^-1,28,Celsius,7.07E-16,m^3,NA,NA,Hira,301.15,K,38.52209223,-11.56527195,-34.88550101,38.52209223,0.013662209,-8.0533032,0.015789323,-0.084661987,0.084661987,0.000247546
Cyanophyta,Mesophile,Aphanizomenon aphanizomenoides,Aphanizomenon,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,1.68E-05,s^-1,35,Celsius,1.46E-16,m^3,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,Heterocytes cell size,Hira,308.15,K,37.6470163,-10.99413167,-36.46292505,37.6470163,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,5.04E-09
Cyanophyta,Mesophile,Spirulina platensis,Spirulina,Pseudoanabaenaceae,Oscillatoriales,Cyanophyceae,Bacteria,1.64E-06,s^-1,32,Celsius,4.06E-15,m^3,http://www.scielo.br/pdf/cta/v33s1/v33s1a26.pdf,"pg.180, or 5-6um as stated in https://www.researchgate.net/publication/259503619_SPIRULINA_PLATENSIS_-_FOOD_FOR_FUTURE_A_REVIEW",Hira,305.15,K,38.0171328,-13.32081432,-33.13759342,38.0171328,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,4.55E-10
Cyanophyta,Mesophile,Trichormus variabilis,Trichormus,Nostocaceae,Nostocales,Cyanophyceae,Bacteria,1.29E-05,s^-1,35,Celsius,3.89E-16,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/55/1/11.pdf?expires=1528306749&id=id&accname=guest&checksum=39CA557801A7F9B24A649DBDEEE3E978,https://books.google.co.uk/books?id=yjnLAwAAQBAJ&pg=PA224&lpg=PA224&dq=Trichormus+variabilis+cell+diameter&source=bl&ots=FtYPtDMsnF&sig=BSuUkqm7CJej0h9l2vBuwLrHkJ4&hl=en&sa=X&ved=0ahUKEwjVwteVv4fbAhWJA8AKHeK2CSwQ6AEIXTAM#v=onepage&q=Trichormus%20variabilis%20cell%20diameter&f=false  Anabaena = Trichormus variabilis,Hira,308.15,K,37.6470163,-11.25828325,-35.48295233,37.6470163,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,3.87E-09
Cyanophyta,Mesophile,Trichodesmium erythraeum,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Bacteria,3.55E-06,s^-1,28,Celsius,9.50E-16,m^3,"Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.4",Saujanya’s phytoplankton data,Hira,301.15,K,38.52209223,-12.54856295,-34.59006969,38.52209223,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,8.83E-10
Cyanophyta,Mesophile,Microcystis ichthyoblabe,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Bacteria,1.53E-05,s^-1,35,Celsius,9.16E-18,m^3,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/50/2/0500767a.pdf?expires=1526386385&id=id&accname=guest&checksum=D6D463D904C41C12E91EDE3C839CD10D,"Width is Diameter, shape info: Wiki Microcystis",Hira,308.15,K,37.6470163,-11.08765773,-39.2316855,37.6470163,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,4.59E-09
Cyanophyta,Mesophile,Crocosphaera watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Bacteria,1.39E-05,s^-1,28,Celsius,3.98E-17,m^3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3215947/,NA,Hira,301.15,K,38.52209223,-11.18362172,-37.76266476,38.52209223,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,3.46E-09
Cyanophyta,Mesophile,Arthrospira fusiformis,Arthrospira,Phormidiaceae,Oscillatoriales,Cyanophyceae,Bacteria,1.79E-06,s^-1,37,Celsius,1.16E-14,m^3,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,NA,Hira,310.15,K,37.4042498,-13.23329494,-32.0877713,37.4042498,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,5.66E-10
Cyanophyta,Mesophile,Planktothrix agardhii,Planktothrix,Phormidiaceae,Oscillatoriales,Cyanophyceae,Bacteria,1.31E-05,s^-1,30,Celsius,1.46E-15,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",Saujanya’s phytoplankton data,Hira,303.15,K,38.26794681,-11.24289833,-34.16033996,38.26794681,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,3.44E-09
Cyanophyta,Mesophile,Anacystis incerta,Anacystis,Merismopediaceae,Synechococcales,Cyanophyceae,Bacteria,3.63E-06,s^-1,29,Celsius,5.28E-17,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",Saujanya’s phytoplankton data. Average mean cell volume,Hira,302.15,K,38.39459895,-12.52627791,-37.48002048,38.39459895,0.330136174,-28.30035415,-0.232375135,0.215447415,-0.215447415,9.28E-10
